username	firstChoice	secondChoice	thirdChoice	fourthChoice	fifthChoice	sixthChoice	seventhChoice	peer1	peer2	peer3	peer4	form	lens	teacherWt	interestWt	peerWt	spacer
lih060	David Carroll	Anezka Sebek	Aneta Genova	Chris Romero	Marko Tandefelt	Jess Irish	Colleen Macklin	wangl073	sombs266	shiw200	pages	Installation	Critical Designer	4 points	2 points	4 points	
dothh489	Chris Romero	Anezka Sebek	David Carroll	Marko Tandefelt	Jess Irish	Aneta Genova	Colleen Macklin	shehl044	syamu557	wangl073	parar943	"Film, Data Visualization, Web"	"Artist, Critical Designer, Professional Designer"	5 points	3 points	2 points	
collb038	Anezka Sebek	Colleen Macklin	David Carroll	Aneta Genova	Jess Irish	Marko Tandefelt	Chris Romero	chinj194	collz893	henrw850	mcnes430	"Game, VR / AR, Web"	"Activist, Critical Designer, Professional Designer"	3 points	2 points	5 points	
chank241	David Carroll	Marko Tandefelt	Colleen Macklin	Aneta Genova	Anezka Sebek	Chris Romero	Jess Irish	wangl073	dothh489	pages	syamu557	"Art work, Installation, Exhibition design"	"Artist, Educator, Curator"	4 points	3 points	3 points	
kumam802	Anezka Sebek	Marko Tandefelt	Colleen Macklin	Jess Irish	Aneta Genova	Chris Romero	David Carroll	pages	glenm259	samph772	mustw826	"Animation, App / Program, Installation"	"Artist, Critical Designer, Educator"	2 points	5 points	4 points	
florr422	Anezka Sebek	Marko Tandefelt	Chris Romero	David Carroll	Jess Irish	Colleen Macklin	Aneta Genova	randj063	henrt555	boehk215		Performance	"Academic Researcher, Artist, Critical Designer"	5 points	3 points	2 points	
hallr841	Aneta Genova	Marko Tandefelt	Colleen Macklin	Anezka Sebek	David Carroll	Chris Romero	Jess Irish	kangm827	trand285	yub582	mcdoj329	"Art work, Installation, Performance"	Artist	4 points	5 points	1 point	
henrw850	Marko Tandefelt	Aneta Genova	Jess Irish	Anezka Sebek	Colleen Macklin	Chris Romero	David Carroll	randj063	ismah263	rezas630	mahau289	Installation	Educator	5 points	1 point	4 points	
weij540	Anezka Sebek	Jess Irish	Chris Romero	Marko Tandefelt	David Carroll	Aneta Genova	Colleen Macklin	liant126	jianj890	zhanx203	chens125	"Film, Installation, Performance"	"Artist, Critical Designer, Professional Designer"	4 points	5 points	1 point	
cruzi280	Jess Irish	Marko Tandefelt	Anezka Sebek	Colleen Macklin	Chris Romero	Aneta Genova	David Carroll	parar943	zhang224	shiw200	mahau289	"Art work, Installation, Performance"	"Activist, Artist"	5 points	4 points	1 point	
mustw826	Colleen Macklin	Marko Tandefelt	Anezka Sebek	Aneta Genova	David Carroll	Chris Romero	Jess Irish	collz893	burka186	kumam802	pages	"Art work, Garment / Wearable, Product"	"Artist, Critical Designer, Professional Designer"	4 points	2 points	4 points	
fengp239	David Carroll	Colleen Macklin	Jess Irish	Anezka Sebek	Aneta Genova	Marko Tandefelt	Chris Romero	florr422	millb313	mutcs247	henrw850	"Game, App / Program, Web"	"Artist, Critical Designer, Educator"	5 points	4 points	1 point	
zhang224	Anezka Sebek	David Carroll	Marko Tandefelt	Aneta Genova	Colleen Macklin	Jess Irish	Chris Romero	lih060	wangl073			"Game, Performance, VR / AR"	"Artist, Critical Designer, Professional Designer"	3 points	5 points	2 points	
dinsa681	Marko Tandefelt	Chris Romero	Anezka Sebek	Colleen Macklin	Jess Irish	Aneta Genova	David Carroll	contj186	mahau289	boehk215	behrn916	"Art work, Product, speculative devices (products)"	"Artist, Critical Designer"	5 points	5 points	0 points	
contj186	Aneta Genova	Marko Tandefelt	Jess Irish	David Carroll	Chris Romero	Anezka Sebek	Colleen Macklin	byrdt279	sombs266	boehk215	mutcs247	"Art work, App / Program, Web"	Artist	5 points	1 point	4 points	
ismah263	Marko Tandefelt	Colleen Macklin	Anezka Sebek	Aneta Genova	Chris Romero	Jess Irish	David Carroll	henrw850	rezas630	shehl044	behrn916	"Garment / Wearable, Installation, Product"	"Critical Designer, Educator, Professional Designer"	5 points	2 points	3 points	
kangm827	Aneta Genova	Anezka Sebek	Marko Tandefelt	Colleen Macklin	David Carroll	Chris Romero	Jess Irish	gernc653	shehl044	dothh489	tothn598	"Art work, Garment / Wearable, Product"	"Artist, Entrepreneur, Professional Designer"	0 points	5 points	5 points	
yakoo774	David Carroll	Marko Tandefelt	Anezka Sebek	Colleen Macklin	Chris Romero	Aneta Genova	Jess Irish	pub598	collz893	lamh657	weij540	"Installation, Data Visualization, Product"	"Artist, Entrepreneur, Professional Designer"	5 points	1 point	4 points	
lim852	David Carroll	Marko Tandefelt	Jess Irish	Colleen Macklin	Anezka Sebek	Aneta Genova	Chris Romero	jianj890	yuy325	pub598	liuq833	"Installation, VR / AR"	"Artist, Entrepreneur, Professional Designer"	4 points	3 points	3 points	
xud156	Colleen Macklin	Anezka Sebek	David Carroll	Aneta Genova	Marko Tandefelt	Jess Irish	Chris Romero	jianj890	yuy325	xuy641	lis808	"Game, App / Program, VR / AR"	"Critical Designer, Professional Designer"	2 points	5 points	0 points	
yadiv745	Aneta Genova	David Carroll	Colleen Macklin	Marko Tandefelt	Chris Romero	Jess Irish	Anezka Sebek	gernc653	pages	saidc308	trand285	"Art work, Game, Installation"	"Artist, Entrepreneur, Professional Designer"	4 points	3 points	3 points	
morer280	Colleen Macklin	Anezka Sebek	Aneta Genova	Jess Irish	David Carroll	Marko Tandefelt	Chris Romero	lehra714	hallr841	zhang224	rezas630	"Art work, Game"	"Artist, Professional Designer"	5 points	3 points	2 points	
